id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len
emsl:2f71038a-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7105c4-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7107d6-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7108d0-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7109ac-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f710a92-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f710cae-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f710d8a-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f710e70-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f710f4c-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f711028-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f711514-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7116fe-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7117ee-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f7118c0-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f711992-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:2f711bfe-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6
emsl:63ca2c7e-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca2eae-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca2f94-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca3070-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca3340-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca341c-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca34da-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca358e-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca3642-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca3700-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca37b4-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
emsl:63ca3868-6647-11eb-ae93-0242ac130002		USA: Columbia River, Washington	usa columbia river washington	46.372	3	-119.272	3
