	id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len	normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon	lat_lon_diff
0	emsl:2f71038a-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
1	emsl:2f7105c4-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
2	emsl:2f7107d6-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
3	emsl:2f7108d0-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
4	emsl:2f7109ac-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
5	emsl:2f710a92-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
6	emsl:2f710cae-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
7	emsl:2f710d8a-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
8	emsl:2f710e70-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
9	emsl:2f710f4c-5dd1-11ec-bf63-0242ac130002		USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	47.506961	6	-93.455715	6	usa minnesota marcel experimental forest spruce and peatland responses to environmental changes	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394						6.285462495507285
