class_uri	label	title
> class_uri	class	title
ENVO:00000316	intertidal zone	intertidal zone
ENVO:00000019	saline lake	saline lake
ENVO:00000022	river	river
ENVO:00000051	hot spring	hot spring
ENVO:01000687	coast	coast
ENVO:01000263	cold seep	cold seep
ENVO:00000482	sea floor	sea floor
ENVO:00000027	spring	spring
ENVO:00000023	stream	stream
ENVO:00000215	hydrothermal vent	hydrothermal vent
ENVO:00000223	continental shelf	continental shelf
ENVO:00000426	ocean floor	ocean floor
ENVO:00000033	pond	pond
ENVO:00000091	beach	beach
ENVO:00000402	mud volcano	mud volcano
ENVO:00000067	cave	cave
ENVO:00000463	harbour	harbour
ENVO:00000039	fjord	fjord
ENVO:01001020	hypersaline lake	hypersaline lake
ENVO:01000122	marine hydrothermal vent	marine hydrothermal vent
ENVO:00000304	shore	shore
ENVO:00000167	bar	bar
ENVO:00000406	mid-ocean ridge	mid-ocean ridge
ENVO:00000141	bank	bank
ENVO:00000032	bay	bay
ENVO:00000268	lake bed	lake bed
ENVO:01000298	continental margin	continental margin
ENVO:00002137	brackish estuary	brackish estuary
ENVO:00000540	brackish lake	brackish lake
ENVO:00000279	saline pan	saline pan
ENVO:01000059	sea grass bed	sea grass bed
ENVO:00000383	stream bed	stream bed
ENVO:00000501	submerged bed	submerged bed
ENVO:00000384	river bed	river bed
ENVO:00000216	fumarole	fumarole
ENVO:00002061	oil spill	oil spill
ENVO:00000055	saline evaporation pond	saline evaporation pond
ENVO:00000220	archipelago	archipelago
ENVO:00000255	flood plain	flood plain
ENVO:02000049	coastal water body	coastal water body
ENVO:03000039	cryoconite hole	cryoconite hole
ENVO:01000548	eutrophic lake	eutrophic lake
ENVO:00000050	geyser	geyser
ENVO:00000214	hadalpelagic zone	hadalpelagic zone
ENVO:01000265	hydrothermal seep	hydrothermal seep
ENVO:01000407	littoral zone	littoral zone
ENVO:01000066	marine anoxic zone	marine anoxic zone
ENVO:01000126	marine sub-littoral zone	marine sub-littoral zone
ENVO:00000143	river bank	river bank
ENVO:00000206	marine neritic zone	marine neritic zone
ENVO:00002185	oil reservoir	oil reservoir
ENVO:00000036	irrigation canal	irrigation canal
ENVO:01000617	lentic water body	lentic water body
ENVO:00000447	marine biome	marine biome
ENVO:00000873	freshwater biome	freshwater biome
ENVO:01000024	marine benthic biome	marine benthic biome
ENVO:01000181	mangrove biome	mangrove biome
ENVO:01000025	marine neritic benthic zone biome	marine neritic benthic zone biome
ENVO:01000022	marine salt marsh biome	marine salt marsh biome
ENVO:01000020	estuarine biome	estuarine biome
ENVO:01000252	freshwater lake biome	freshwater lake biome
ENVO:01000046	marginal sea biome	marginal sea biome
ENVO:01000127	marine cold seep biome	marine cold seep biome
ENVO:00000893	xeric basin biome	xeric basin biome
ENVO:01000253	freshwater river biome	freshwater river biome
ENVO:00000889	large river delta biome	large river delta biome
ENVO:01000049	marine coral reef biome	marine coral reef biome
