id	env_package_has_raw_value	part_of	normalized_env_package	predicted_normalized_env_package	mam_inferred_env_package
nmdc:bsm-11-2hswww54		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-fbm8fa50		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-a6p0kd54		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-veffrc25		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-af8kqq09		nmdc:sty-11-8fb6t785		water	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-ttg2t449		nmdc:sty-11-8fb6t785		water	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-gvp5zp51		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-yvzvbr38		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-7b566r47		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-byzpm179		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-kmpwgz16		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-kqbbyb62		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-fqchmc77		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-kv966g71		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-m5prkp97		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-tn8q1269		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-gnbsqd30		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-jx6ar740		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-sa4z4f71		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-m69k6p77		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-35m0rm03		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-3r4g4610		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
nmdc:bsm-11-nher1m25		nmdc:sty-11-8fb6t785		soil	hydrocarbon resources-fluids_swabs
