id	label
ENVO:00000447	marine biome
ENVO:00000873	freshwater biome
ENVO:01000024	marine benthic biome
ENVO:01000181	mangrove biome
ENVO:01000025	marine neritic benthic zone biome
ENVO:01000022	marine salt marsh biome
ENVO:01000020	estuarine biome
ENVO:01000252	freshwater lake biome
ENVO:01000046	marginal sea biome
ENVO:01000127	marine cold seep biome
ENVO:00000893	xeric basin biome
ENVO:01000253	freshwater river biome
ENVO:00000889	large river delta biome
ENVO:01000049	marine coral reef biome
ENVO:01000050	marine subtidal rocky reef biome
