id	label
ENVO:00000316	intertidal zone
ENVO:00000019	saline lake
ENVO:00000022	river
ENVO:00000051	hot spring
ENVO:01000687	coast
ENVO:01000263	cold seep
ENVO:00000482	sea floor
ENVO:00000027	spring
ENVO:00000023	stream
ENVO:00000215	hydrothermal vent
ENVO:00000223	continental shelf
ENVO:00000426	ocean floor
ENVO:00000033	pond
ENVO:00000091	beach
ENVO:00000402	mud volcano
ENVO:00000067	cave
ENVO:00000463	harbour
ENVO:00000039	fjord
ENVO:01001020	hypersaline lake
ENVO:01000122	marine hydrothermal vent
ENVO:00000304	shore
ENVO:00000167	bar
ENVO:00000406	mid-ocean ridge
ENVO:00000141	bank
ENVO:00000032	bay
ENVO:00000268	lake bed
ENVO:01000298	continental margin
ENVO:00002137	brackish estuary
ENVO:00000540	brackish lake
ENVO:00000279	saline pan
ENVO:01000059	sea grass bed
ENVO:00000383	stream bed
ENVO:00000501	submerged bed
ENVO:00000384	river bed
ENVO:00000216	fumarole
ENVO:00002061	oil spill
ENVO:00000055	saline evaporation pond
ENVO:00000220	archipelago
ENVO:00000255	flood plain
ENVO:02000049	coastal water body
ENVO:03000039	cryoconite hole
ENVO:01000548	eutrophic lake
ENVO:00000050	geyser
ENVO:00000214	hadalpelagic zone
ENVO:01000265	hydrothermal seep
ENVO:01000407	littoral zone
ENVO:01000066	marine anoxic zone
ENVO:01000126	marine sub-littoral zone
ENVO:00000143	river bank
ENVO:00000206	marine neritic zone
ENVO:00002185	oil reservoir
ENVO:00000036	irrigation canal
ENVO:01000617	lentic water body
