serial_number	content	sample_count	content_list	content_count	envo_count	extracted_label	extracted_curie	real_label	longest_annotation_curie	longest_annotation_label	curie_list	unique_curie_count
1	missing	9203	missing	1	0	missing					[]	0
2	not applicable	3869	not applicable	1	0	not applicable			CHEBI:25555	nitrogen atom	['CHEBI:25555']	1
3	soil	3472	soil	1	0	soil			ENVO:00001998	soil	['ENVO:00001998']	1
4	not collected	3464	not collected	1	0	not collected			ENVO:00000084	mountain pass	['ENVO:00000084']	1
5	forest biome	2674	forest biome	1	0	forest biome			ENVO:01000174	forest biome	['ENVO:01000174']	1
6	Agricultural soil	1989	Agricultural soil	1	0	Agricultural soil			ENVO:00002259	agricultural soil	['ENVO:00002259']	1
7	forest	1816	forest	1	0	forest			ENVO:00000111	forested area	['ENVO:00000111']	1
8	ENVO:01000198	1567	ENVO:01000198	1	1		ENVO:01000198	mixed forest biome			['ENVO:01000198']	1
9	Soil	1514	Soil	1	0	Soil			ENVO:00001998	soil	['ENVO:00001998']	1
10	temperate desert biome	1506	temperate desert biome	1	0	temperate desert biome			ENVO:01000182	temperate desert biome	['ENVO:01000182']	1
11	agricultural field	1469	agricultural field	1	0	agricultural field			ENVO:00000114	agricultural field	['ENVO:00000114']	1
12	eroded soil	1428	eroded soil	1	0	eroded soil			ENVO:00001998	soil	['ENVO:00001998']	1
13	[ENVO:00000428]	1426	[ENVO:00000428]	1	1		ENVO:00000428	biome			['ENVO:00000428']	1
14	temperate grassland	1377	temperate grassland	1	0	temperate grassland			ENVO:01001811	temperate grassland	['ENVO:01001811']	1
15	grassland biome	1287	grassland biome	1	0	grassland biome			ENVO:01000177	grassland biome	['ENVO:01000177']	1
16	temperate forest	1280	temperate forest	1	0	temperate forest			ENVO:01001805	temperate forest	['ENVO:01001805']	1
17	desert grassland/shrubland	1215	desert grassland/shrubland	1	0	desert grassland/shrubland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
18	ENVO:00000446	1209	ENVO:00000446	1	1		ENVO:00000446	terrestrial biome			['ENVO:00000446']	1
19	permafrost	1057	permafrost	1	0	permafrost			ENVO:00000134	permafrost	['ENVO:00000134']	1
20	ENVO_01000180	1024	ENVO_01000180	1	1		ENVO:01000180	tundra biome			['ENVO:01000180']	1
21	boreal forest biome	1016	boreal forest biome	1	0	boreal forest biome			ENVO:01000250	subpolar coniferous forest biome	['ENVO:01000250']	1
22	pH	999	pH	1	0	pH			PATO:0001842	acidity	['PATO:0001842']	1
23	soil biome	997	soil biome	1	0	soil biome			ENVO:00000428	biome	['ENVO:00000428']	1
24	Agricultural field	977	Agricultural field	1	0	Agricultural field			ENVO:00000114	agricultural field	['ENVO:00000114']	1
25	woodland area[ENVO:00000109]	944	woodland area[ENVO:00000109]	1	1	woodland area	ENVO:00000109	woodland area	ENVO:00000109	woodland area	['ENVO:00000109']	1
26	soil ecosystem	940	soil ecosystem	1	0	soil ecosystem			ENVO:01001110	ecosystem	['ENVO:01001110']	1
