ENVO:02000095	uranium ore
ENVO:01000780	public road
UBERON:0034995	jaw mesenchyme
CHEBI:24373	glycine derivative
ENVO:03510034	turpentine
ENVO:01000069	mesoscale marine eddy
UBERON:0002217	synovial joint
CHEBI:33431	elemental chlorine
ENVO:01001397	ultisol
ENVO:00000033	pond
ENVO:01001065	meteorite lake
ENVO:01000288	monomictic lake
ENVO:03501154	traumatic intensive care unit facility
ENVO:03501190	pain clinic
ENVO:01000513	asbestos building roof
UBERON:0003837	thoracic segment connective tissue
ENVO:01001279	sidewalk
FOODON:03310387	oil
ENVO:03501103	ambulance
ENVO:00000137	coastal inlet
FOODON:00001189	oat food product
ENVO:01001623	glacial summer surface
ENVO:01000567	paraffin lantern
ENVO:06105111	natural plastic
ENVO:2000004	algal bloom
ENVO:00000156	desert oasis
ENVO:01001190	brown sea ice
ENVO:03501340	community service centre
UBERON:0001359	cerebrospinal fluid
ENVO:03600079	shredder
ENVO:01000129	marine hydrothermal vent chimney
ENVO:01000265	hydrothermal seep
ENVO:00003884	farmyard manure
ENVO:00000392	ice tongue
FOODON:03316271	sugar product
ENVO:01001638	frost-susceptible soil
CHEBI:22977	cadmium atom
ENVO:00000128	dry valley
ENVO:01000639	planetary structural layer
ENVO:00000253	scroll plane
UBERON:0002190	subcutaneous adipose tissue
ENVO:01000529	chemical toilet fixture
ENVO:06105272	loamy sand
ENVO:01001553	shore lead
FOODON:00001216	cream food product
ENVO:01000732	clastic dike
ENVO:01000099	marine surface current
ENVO:00000550	range of seamounts
ENVO:00005758	alluvial swamp soil
CHEBI:29075	mononucleotide
ENVO:00010625	zoological garden
ENVO:01000152	iron-reducing sediment
FOODON:00001083	sugar condiment
ENVO:00000438	alas
ENVO:01000620	mesocosm
ENVO:01000781	public building
ENVO:00005797	lake bottom mud
ENVO:01001839	safe environment for living organisms
ENVO:01000296	dry lake bed
ENVO:00010623	dolomite
NCBITaxon:1892265	Gloeotrichiaceae
ENVO:00003074	manufactured product
ENVO:03501338	human nursery
CHEBI:37395	mucopolysaccharide
CHEBI:26712	sodium molecular entity
ENVO:01001531	sea ice field
ENVO:03510022	resin (gum) varnish
FOODON:00002139	plant fat or oil refined food product
FOODON:00001276	apple cider (alcoholic)
ENVO:03501342	dormitory
CHEBI:25698	ether
ENVO:03000082	thermokarst lake
FOODON:03301977	beverage food product
