curie	label	envo_native	obsolete	EnvBroadScaleSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioporjects_count
ENVO:01000209	subtropical coniferous forest biome	True	False	False	2	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001004	groundwater	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False		2.0
ENVO:01001059	mock community culture	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		1.0
ENVO:01000022	marine salt marsh biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		1.0
ENVO:00000353	island arc	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000923	petting zoo	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000434		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
CHEBI:60004	mixture	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
UBERON:0000060	anatomical wall	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000014	canal	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000477		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:0000453		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00000115	orchard	True	False	False	2	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False		17.0
ENVO:01000034	oceanic sea surface microlayer biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:01001462	UNEP-WCMC class 2 mountain	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000142	stream bank	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001024	particle radiation	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000338	litter layer	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:02000138	mangrove biome soil	True	False	False	2	0	False	True	False	False	False	False	True	True	False	False	False	False	False	True		1.0
ENVO:018		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001443	usage of an environment for recreation	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000530	apron	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01000639	planetary structural layer	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000020	lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		50.0
ENVO:008		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000481	pinnacle	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000625	manufactured cage	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		12.0
ENVO:030		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000057	mangrove swamp	True	False	False	0	2	False	False	True	False	False	False	False	False	False	False	False	False	False	False		8.0
ENVO:00002310		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000554		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000909	biocrust	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		12.0
ENVO:0000518		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000447		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00000379	inundation disposition	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000177	grassland biome	True	False	False	1	0	False	True	True	True	True	False	False	False	False	False	False	False	False	True	113.0	4.0
ENVO:00000891	large freshwater lake biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:03501314	food production environmental monitoring zone 1	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00001995	rock	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		7.0
ENVO:00000446	terrestrial biome	True	False	True	0	25	False	True	True	True	True	False	False	False	False	False	False	False	False	True	5628.0	3.0
ENVO:01001838	arid biome	True	False	True	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00000350	somma volcano	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
CHEBI:16183	methane	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000531		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0010021	obsolete caprine dairy product	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000153	headwater	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000043	wetland area	True	False	False	1	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		7.0
ENVO:00002149	sea water	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False		3.0
ENVO:01000859	tropical marine upwelling biome	True	False	False	1	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:01000028	marine hadal zone biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:03000096	season	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		9.0
ENVO:00002295		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01034		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
CHEBI:25555	nitrogen atom	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:03000116	snowpack	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001357	desert	True	False	False	1	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True		2.0
ENVO:00002259	agricultural soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	True		100.0
ENVO:01000944	microplastic particle	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		5.0
ENVO:01001458	mist	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:002		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000112	area of tundra	True	False	False	2	2	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000496		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00005802	bulk soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	True		49.0
ENVO:00002301		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000493		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000890	small river biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		2.0
ENVO:0000433		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01001485	multiple vortex tornado	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001790	terrestrial ecosystem	True	False	False	0	26	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000227	tropical dry broadleaf forest biome	True	False	False	2	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000525		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002307		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:051		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000409	freshwater littoral zone	True	False	False	0	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
PATO:0000689	continuous	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01017		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000431		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01000632	chonolith	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000377	humid subtropical	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002207	self-heating coal mine waste material	True	False	False	0	0	False	True	False	False	False	False	True	False	False	False	False	False	False	False		1.0
ENVO:06105276	sandy clay loam	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		1.0
ENVO:01000186	polar desert biome	True	False	False	2	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001057	environment associated with a plant part or small plant	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000477	mount	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002226	borehole	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	False	False	False		3.0
ENVO:01001370	tundra ecosystem	True	False	False	2	2	False	True	True	False	False	False	False	False	False	False	False	False	False	False		4.0
