curie	label	envo_native	obsolete	EnvMediumSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
FOODON:00001185	rice food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:0000554		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000496	rill	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:03510064	emissions from petroleum combustion	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:03605000	periphytic biofilm	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001060	single strain cell culture	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001255	nonfermented plant derived beverage product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001800	dairy dessert food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:06105101	plastic	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		6.0
RO:0002577	system	False	False	False	0	23	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		69.0
FOODON:00001204	yam bean food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001190	brown sea ice	True	False	False	0	0	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False		
ENVO:01000405	respirable suspended particulate matter	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:03301103	orange juice	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:0000431		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00000242	lacustrine mudflat	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001459	high-elevation mountain	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000010	transport feature	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False		
FOODON:00001156	citrus fruit juice	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001044	soil environment	True	False	False	0	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		42.0
ENVO:01000111	cosmogenous sediment	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00002287		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001834	subpolar biome	True	False	False	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:048		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000455		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00002226	borehole	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False		3.0
ENVO:01000947	ecotone	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000739	habitat	True	False	False	0	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		9.0
ENVO:00000443	flood control reservoir	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False		1.0
ENVO:00002315		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001057	environment associated with a plant part or small plant	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01001238	residual kerogen	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000339	polar biome	True	False	False	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False		5.0
ENVO:02000155	solid waste material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		3.0
ENVO:01001303	environmental role	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		7.0
FOODON:00001021	acifified beer wort food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:0000504		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:03000133	agricultural potting mixture	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True		2.0
ENVO:00002147	coal mine lake sediment	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000482	soda-lime glass	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001142	maize (corn) food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00002298		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001017	halo	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:03000137	freezing fog	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00002045	anaerobic sediment	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000638	planetary crust	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		13.0
ENVO:01000886	area of developed space with high usage intensity	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:04000013	particulate organic carbon	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000448	hydroelectric reservoir	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False		2.0
PATO:0000622	erect	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
FOODON:00001292	oyster food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000006	second-order administrative region	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002984	petroleum	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		13.0
FOODON:00001056	flour food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001158	pomaceous fruit food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00002132	plant based salad food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00002330		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000376	biosphere reserve	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000537	atmospheric ozone	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00002297	obsolete environmental feature	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00000511	blanket bog	True	False	False	2	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:03510062	aqueous inkjet printer ink	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000380	ice shelf	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False		
ENVO:03500020	non-lead solder	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00005776	peaty paddy field soil	True	False	True	5	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False		
ENVO:00000081	mountain	True	False	False	0	1	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		77.0
ENVO:06105272	loamy sand	True	False	False	1	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001867	food dressing product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
