id	label
ENVO:00003065	distilled water
ENVO:00002012	hypersaline water
ENVO:03600081	cloud water
ENVO:00005793	muddy water
ENVO:01001038	moderately saline water
ENVO:03600009	interstitial water
ENVO:00005792	underground water
ENVO:00002150	coastal sea water
ENVO:00002141	leachate
ENVO:01000358	acidic water
ENVO:01000173	anoxic water
ENVO:00002019	brackish water
ENVO:01001064	hypoxic water
ENVO:00002224	eutrophic water
ENVO:01001018	hypereutrophic water
ENVO:01000301	estuarine water
ENVO:01001270	rural stormwater
ENVO:01001267	stormwater
ENVO:03501370	stagnant water
ENVO:01000357	alkaline water
ENVO:00002228	pond water
ENVO:00002010	saline water
ENVO:00002006	liquid water
ENVO:01000722	meltwater
ENVO:00002011	fresh water
ENVO:00003044	brine
ENVO:01001039	highly saline water
ENVO:00002149	sea water
ENVO:01001004	groundwater
ENVO:00002223	oligotrophic water
ENVO:01000872	ballast water
ENVO:01001063	oxic water
ENVO:00003096	tap water
ENVO:01001257	saline shrimp pond water
ENVO:00002159	drilling bore water
ENVO:01001268	urban stormwater
ENVO:01000600	rainwater
ENVO:00002042	surface water
ENVO:00002225	mesotrophic water
ENVO:00003064	drinking water
ENVO:01000134	hydrothermal fluid
ENVO:00005791	sterile water
ENVO:06105269	desalinated water
ENVO:00003045	bacon curing brine
ENVO:02000145	subterranean lake
ENVO:03600002	cooling water
ENVO:01001037	slightly saline water
ENVO:00002142	borax leachate
ENVO:00002158	ditch water
