id	label
ENVO:00000083	hill
ENVO:00000381	massif
ENVO:00000535	weir
ENVO:00000325	polje
ENVO:00000091	beach
ENVO:00000232	fen
ENVO:00000524	abandoned watercourse
ENVO:00000109	woodland area
ENVO:00000313	blowout
ENVO:00000463	harbour
ENVO:00000022	river
ENVO:00000439	dell
ENVO:00000262	steppe
ENVO:01000649	trench
ENVO:00000026	well
ENVO:00000039	fjord
ENVO:03501309	booth
ENVO:00002061	oil spill
ENVO:00000106	grassland area
ENVO:01001243	forest ecosystem
ENVO:00002000	slope
ENVO:01000670	vein
ENVO:00000064	road
ENVO:01001357	desert
ENVO:03000132	firebreak
ENVO:03600087	greenhouse
ENVO:00000304	shore
ENVO:00000169	canyon
ENVO:00000031	wadi
ENVO:00000100	valley
ENVO:03600033	residential backyard
ENVO:00000114	agricultural field
ENVO:00000044	peatland
ENVO:00000081	mountain
ENVO:00000182	plateau
ENVO:01000429	burrow
ENVO:00000256	floodway
ENVO:00000115	orchard
ENVO:00000283	ridge
ENVO:00000180	mound
ENVO:01001870	gas well
ENVO:01001209	wetland ecosystem
ENVO:00000134	permafrost
ENVO:00000533	landfill
ENVO:03000143	cryosphere
ENVO:00000111	forested area
ENVO:00000280	escarpment
ENVO:00000195	sinkhole
ENVO:00000320	crevasse
ENVO:00000293	continental divide
ENVO:01000935	campground
ENVO:00000074	dam
ENVO:00000438	alas
ENVO:00000543	swale
ENVO:00000068	tunnel
ENVO:00000075	bridge
ENVO:00000481	pinnacle
ENVO:00000216	fumarole
ENVO:00000529	beach ridge
ENVO:03501238	hillock
ENVO:00000421	wave-cut platform
ENVO:00000076	mine
ENVO:00000247	volcano
ENVO:00000266	pasture
ENVO:00000521	rockfall
ENVO:00000357	lock
ENVO:01001568	frost heave
ENVO:00000155	cirque
ENVO:01001665	soil cryoturbate
ENVO:01001871	pit
ENVO:00000562	park
ENVO:00000429	arete
ENVO:00000261	savanna
ENVO:00000290	graben
ENVO:00000287	butte
ENVO:00000441	terracette
ENVO:00000419	stack
ENVO:03501248	overpass
ENVO:00000444	woodland clearing
ENVO:00000291	drainage basin
ENVO:01000468	fence
ENVO:00000514	crater
ENVO:01000446	ravine
ENVO:00000133	glacier
ENVO:00000078	farm
ENVO:00000567	calanque
ENVO:00000096	caldera
ENVO:03500001	playground
ENVO:00000086	plain
ENVO:00010358	fomite
ENVO:03000085	thermokarst
ENVO:01000447	roadside
ENVO:00000127	badland
ENVO:00000067	cave
ENVO:00000282	esker
ENVO:01000333	hillside
ENVO:00002226	borehole
ENVO:01001177	arable land
ENVO:00000177	moraine
ENVO:00000516	hummock
ENVO:00000284	quarry
ENVO:00000011	garden
ENVO:01000294	crevice
ENVO:01000302	outcrop
ENVO:00000289	horst
ENVO:00000027	spring
ENVO:01000985	fairground
ENVO:00000411	ford
ENVO:03501245	drawbridge
ENVO:00000170	dune
ENVO:00000277	dry lake
ENVO:02000141	refinery
ENVO:00005801	rhizosphere
ENVO:04000009	active permafrost layer
ENVO:03000117	channel
ENVO:00000023	stream
ENVO:00000108	meadow ecosystem
ENVO:00000158	causeway
ENVO:00000255	flood plain
ENVO:00000260	prairie
ENVO:03501239	riverfront
ENVO:01001280	driveway
ENVO:00000046	hedge
ENVO:01001207	ranch
ENVO:2000007	biochar
ENVO:00000035	marsh
ENVO:00000276	drumlin
ENVO:01000466	boundary wall
ENVO:00000077	agricultural ecosystem
ENVO:00001996	mine drainage
ENVO:00000563	pier
ENVO:00000174	isthmus
ENVO:00000508	terrace
ENVO:00000033	pond
ENVO:03600068	ice wedge
ENVO:01001538	frost-formed hummock
ENVO:01001524	frozen land
ENVO:00000520	landslide
ENVO:00000292	watershed
ENVO:00000530	apron
ENVO:00000179	mesa
ENVO:01001279	sidewalk
ENVO:00000432	monadnock
ENVO:00000087	cliff
