sub	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	rdfs:comment	rdfs:label	skos:closeMatch	skos:exactMatch	env_broad_label	env_local_label	env_medium_label
GOLDTERMS:4202	ENVO:01000254	ENVO:01001357	ENVO:00005800		mixs:Soil		env_broad: environmental system; env_local: desert; env_medium: desert sand; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Sand > Desert		ENVO:00005800	environmental system	desert	desert sand
GOLDTERMS:4203	ENVO:01000254	ENVO:00000446	ENVO:01000017		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: sand; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Sand		ENVO:01000017	environmental system	terrestrial biome	sand
GOLDTERMS:4204	ENVO:01000254	ENVO:00002061	ENVO:01000017		mixs:Soil		env_broad: environmental system; env_local: oil spill; env_medium: sand; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Sand > Oil-contaminated			environmental system	oil spill	sand
GOLDTERMS:4205	ENVO:01000254	ENVO:00000446	ENVO:00002261	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Forest Soil		ENVO:00002261	environmental system	terrestrial biome	forest soil
GOLDTERMS:4206	ENVO:01000254	ENVO:00000446	ENVO:00000134	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: permafrost; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Permafrost			environmental system	terrestrial biome	permafrost
GOLDTERMS:4209	ENVO:01000254	ENVO:01000177	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: grassland biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Grasslands			environmental system	grassland biome	soil
GOLDTERMS:4210	ENVO:01000254	ENVO:01001357	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: desert; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Desert			environmental system	desert	soil
GOLDTERMS:4211	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Uranium contaminated			environmental system	terrestrial biome	soil
GOLDTERMS:4212	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil			environmental system	terrestrial biome	soil
GOLDTERMS:4213	ENVO:00000077	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Agricultural land			agricultural ecosystem	terrestrial biome	soil
GOLDTERMS:4214	ENVO:01000254	ENVO:00000300	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: scrubland area; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Shrubland		ENVO:00000300	environmental system	scrubland area	soil
GOLDTERMS:4215	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil	PATO:0015032	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; other: increased contamination; partial	Environmental > Terrestrial > Soil > Unclassified > Contaminated			environmental system	terrestrial biome	soil
GOLDTERMS:4216	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Tropical rainforest			environmental system	terrestrial biome	soil
GOLDTERMS:4217	ENVO:01000254	ENVO:01000250	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: subpolar coniferous forest biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Boreal forest		ENVO:01000250	environmental system	subpolar coniferous forest biome	soil
GOLDTERMS:4218	ENVO:01000254	ENVO:00000076	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: mine; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Mine			environmental system	mine	soil
GOLDTERMS:4220	ENVO:01000254	ENVO:00002061	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: oil spill; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Oil-contaminated			environmental system	oil spill	soil
GOLDTERMS:4221	ENVO:01000254	ENVO:00001996	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: mine drainage; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Mine drainage			environmental system	mine drainage	soil
GOLDTERMS:4223	ENVO:01000254	ENVO:01000177	ENVO:01000017		mixs:Soil		env_broad: environmental system; env_local: grassland biome; env_medium: sand; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Sand > Grasslands			environmental system	grassland biome	sand
GOLDTERMS:4224	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Sand > Forest soil			environmental system	terrestrial biome	forest soil
GOLDTERMS:4227	ENVO:01000254	ENVO:00000446	ENVO:01000016		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: silt; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Silt		ENVO:01000016	environmental system	terrestrial biome	silt
GOLDTERMS:4228	ENVO:01000254	ENVO:01000177	ENVO:00002982		mixs:Soil		env_broad: environmental system; env_local: grassland biome; env_medium: clay; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Clay > Grasslands			environmental system	grassland biome	clay
GOLDTERMS:4229	ENVO:01000254	ENVO:00000446	ENVO:00002982		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: clay; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Clay		ENVO:00002262	environmental system	terrestrial biome	clay
GOLDTERMS:4230	ENVO:00000077	ENVO:00000446	ENVO:00002982		mixs:Soil		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: clay; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Clay > Agricultural land			agricultural ecosystem	terrestrial biome	clay
GOLDTERMS:4231	ENVO:01000254	ENVO:00000446	ENVO:00002982		mixs:Soil	PATO:0015032	env_broad: environmental system; env_local: terrestrial biome; env_medium: clay; mixs_extension: MIXS:Soil; other: increased contamination; partial	Environmental > Terrestrial > Soil > Clay > Contaminated			environmental system	terrestrial biome	clay
GOLDTERMS:4232	ENVO:01000254	ENVO:00002061	ENVO:00002982		mixs:Soil		env_broad: environmental system; env_local: oil spill; env_medium: clay; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Clay > Oil-contaminated			environmental system	oil spill	clay
GOLDTERMS:4234	ENVO:01001209	ENVO:00000446	ENVO:00000134		mixs:Soil		env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: permafrost; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Wetlands > Permafrost			wetland ecosystem	terrestrial biome	permafrost
GOLDTERMS:4235	ENVO:01001209	ENVO:00000446	ENVO:00001998		mixs:Soil		env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Wetlands			wetland ecosystem	terrestrial biome	soil
GOLDTERMS:4237	ENVO:00000077	ENVO:00000446	ENVO:00002258		mixs:Agriculture		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Agriculture; partial	Environmental > Terrestrial > Soil > Loam > Agricultural	ENVO:00000077		agricultural ecosystem	terrestrial biome	loam
GOLDTERMS:4238	ENVO:01000254	ENVO:01000177	ENVO:00002258		mixs:Soil		env_broad: environmental system; env_local: grassland biome; env_medium: loam; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam > Grasslands			environmental system	grassland biome	loam
GOLDTERMS:4239	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam > Forest soil			environmental system	terrestrial biome	forest soil
GOLDTERMS:4241	ENVO:01000254	ENVO:00000446	ENVO:00002258		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam		ENVO:00002258	environmental system	terrestrial biome	loam
GOLDTERMS:4242	ENVO:00000077	ENVO:00000446	ENVO:00002258		mixs:Soil		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam > Agricultural land			agricultural ecosystem	terrestrial biome	loam
GOLDTERMS:4243	ENVO:01000254	ENVO:00000446	ENVO:00002258		mixs:Soil	PATO:0015032	env_broad: environmental system; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; other: increased contamination; partial	Environmental > Terrestrial > Soil > Loam > Contaminated			environmental system	terrestrial biome	loam
