slot	description	comments / guidance for external	title / DH column header	is_a	rank	section	range	multivalued	inlined	inlined_as_list	notes	examples	required	recommended	min value	max value	string serialization	regular expression	structured_pattern	GH	see_alsos
>slot	description	comments	title	is_a	rank	slot_group	range	multivalued	inlined	inlined_as_list	notes	examples	required	recommended	minimum_value	maximum_value	string_serialization	pattern	structured_pattern	annotations	see_also
>		"internal_separator: ""|"""									"internal_separator: ""|"""	"internal_separator: ""|"""								inner_key: gh_issue_url	"internal_separator: ""|"""
air_data	aggregation slot relating air data collections to a SampleData container						AirInterface	TRUE	TRUE	TRUE											
biofilm_data	aggregation slot relating biofilm data collections to a SampleData container						BiofilmInterface	TRUE	TRUE	TRUE											
built_env_data	aggregation slot relating built_env data collections to a SampleData container						BuiltEnvInterface	TRUE	TRUE	TRUE											
emsl_data	aggregation slot relating emsl data collections to a SampleData container						EmslInterface	TRUE	TRUE	TRUE											
hcr_cores_data	aggregation slot relating hcr_cores data collections to a SampleData container						HcrCoresInterface	TRUE	TRUE	TRUE											
hcr_fluids_swabs_data	aggregation slot relating hcr_fluids_swabs data collections to a SampleData container						HcrFluidsSwabsInterface	TRUE	TRUE	TRUE											
host_associated_data	aggregation slot relating host_associated data collections to a SampleData container						HostAssociatedInterface	TRUE	TRUE	TRUE											
jgi_mg_sr_data	aggregation slot relating jgi_mg_sr data collections to a SampleData container						JgiMgSrInterface	TRUE	TRUE	TRUE											
jgi_mg_lr_data	aggregation slot relating jgi_mg_lr data collections to a SampleData container						JgiMgLrInterface	TRUE	TRUE	TRUE											
jgi_mt_data	aggregation slot relating jgi_mt data collections to a SampleData container						JgiMtInterface	TRUE	TRUE	TRUE											
misc_envs_data	aggregation slot relating misc_envs data collections to a SampleData container						MiscEnvsInterface	TRUE	TRUE	TRUE											
plant_associated_data	aggregation slot relating plant_associated data collections to a SampleData container						PlantAssociatedInterface	TRUE	TRUE	TRUE											
sediment_data	aggregation slot relating sediment data collections to a SampleData container						SedimentInterface	TRUE	TRUE	TRUE											
soil_data	aggregation slot relating soil data collections to a SampleData container						SoilInterface	TRUE	TRUE	TRUE											
wastewater_sludge_data	aggregation slot relating wastewater_sludge data collections to a SampleData container						WastewaterSludgeInterface	TRUE	TRUE	TRUE											
water_data	aggregation slot relating water data collections to a SampleData container						WaterInterface	'true	'true	'true											
dh_section	dh_section grouping slot																				
emsl_section	placeholder		EMSL	dh_section	2																
jgi_metagenomics_section	placeholder		JGI-Metagenomics	dh_section	3																
jgi_metatranscriptomics_section	placeholder		JGI-Metatranscriptomics	dh_section	4																
mixs_core_section	placeholder		MIxS Core	dh_section	10																
mixs_inspired_section	placeholder		MIxS Inspired	dh_section	7																
mixs_investigation_section	placeholder			dh_section	8																
mixs_modified_section	placeholder		MIxS (modified)	dh_section	6																
mixs_nassf_section	placeholder			dh_section	9																
mixs_section	placeholder		MIxS	dh_section	5																
sample_id_section	placeholder		Sample ID	dh_section	1																
